Name;X;Y;Lat;Long
WESTMINSTER STN <> / PARLIAMENT SQUARE;530171;179738;51.501597;-0.12598822
TREVOR CLOSE;515781;174783;51.460191;-0.33483096
HIGHBURY CORNER;531614;184603;51.544983;-0.10339507
HIGHBURY & ISLINGTON STATION <> #;531573;184786;51.546637;-0.10391762
ST MARY MAGDALENE CHURCH;531365;184986;51.548482;-0.10684091
ST MARY MAGDALENE CHURCH;531328;185009;51.548698;-0.10736564
HOLLOWAY ROAD STATION <>;531036;185378;51.552081;-0.11143711
HOLLOWAY ROAD STATION <>;530939;185465;51.552886;-0.11280298
LYNWOOD ROAD;517950;182729;51.531159;-0.30097157
LYNWOOD ROAD;517907;182704;51.530943;-0.30159954
WOOLWICH ROAD / BEDONWELL ROAD;548180;177996;51.481515;0.13255941
WOOLWICH ROAD / BEDONWELL ROAD;548036;177997;51.481561;0.13048762
QUEENS ROAD;521827;168125;51.399085;-0.25013458
ST JOSEPH'S CHURCH;521080;168163;51.399587;-0.26085436
ST JOSEPH'S CHURCH;521017;168169;51.399654;-0.2617575
ELM ROAD / NEW MALDEN BAPTIST CHURCH;520697;168304;51.400936;-0.26630939
ARCHDALE PLACE;519927;168691;51.404577;-0.27724244
CALIFORNIA ROAD;520074;168585;51.403593;-0.27516595
WATERS ROAD;519527;168967;51.407142;-0.2828974
CAMBRIDGE GROVE;519254;169156;51.408898;-0.28675707
VICARAGE HOUSE;518954;169281;51.410084;-0.29102651
RAYNES PARK STATION #;523241;169249;51.408882;-0.2294287
KINGS ROAD;518686;175064;51.462115;-0.29294166
ST MARY'S GROVE;518796;175063;51.462083;-0.29135934
CLAPTON POND;534857;185908;51.555945;-0.056156703
CEDAR WAY;500333;178601;51.497456;-0.55602557
CLAPTON POND;534887;186004;51.5568;-0.055687448
DITTON PARK ROAD;500753;178316;51.494819;-0.55005854
CHAPTER ROAD;522062;184972;51.550444;-0.2409435
CHAPTER ROAD;522046;185008;51.550771;-0.24116167
ST JOHN STREET / GOSWELL ROAD;531453;183089;51.531414;-0.10628032
TALLY HO CORNER;526317;192117;51.613719;-0.17704027
KILBURN PARK STATION <>;525408;183392;51.535511;-0.19327348
KILBURN PARK STATION <>;525381;183300;51.53469;-0.19369528
FAIRLAWN AVENUE;527295;189380;51.588902;-0.16391552
MULGRAVE ROAD;524679;177667;51.484222;-0.205801
FULHAM POOLS;524535;177622;51.483849;-0.20788961
THIRLMERE GARDENS;507950;191964;51.616161;-0.44224151
QUEENS GROVE;526571;183570;51.536852;-0.17645062
GLYN ROAD;536020;185145;51.548809;-0.039686389
GLYN ROAD;535998;185150;51.548859;-0.040001546
QUEENS GROVE;526591;183569;51.536838;-0.17616277
MORDEN SOUTH STATION #;525286;167949;51.396751;-0.20049977
MORDEN SOUTH STATION #;525298;167852;51.395877;-0.20036159
CHALGROVE AVENUE;525191;167781;51.395262;-0.2019238
BUSHEY ROAD / GRAND DRIVE;523151;169059;51.407194;-0.23078797
BUSHEY ROAD;523244;168951;51.406203;-0.22948904
BUSHEY ROAD;523258;168879;51.405553;-0.22931286
LEA BRIDGE ROAD;536921;187624;51.570868;-0.025735698
THAMES AVENUE;550121;183083;51.52671;0.16265389
LEA BRIDGE ROAD;536889;187654;51.571145;-0.02618546
ST SAVIOUR'S CHURCH;536738;187903;51.573419;-0.028266068
BARNES STATION #;522211;175652;51.466651;-0.24202258
QUEEN'S ROAD;536609;188269;51.576739;-0.029984144
MARKHOUSE AVENUE;536560;188526;51.579061;-0.030590979
MARKHOUSE AVENUE;536578;188491;51.578742;-0.030344971
HAZELWOOD ROAD;536257;188881;51.582324;-0.034823414
WALTHAMSTOW MARKET;536302;188834;51.581891;-0.034192577
BARNES STATION #;522267;175737;51.467402;-0.24118743
LONGFIELD AVENUE;536069;189104;51.584373;-0.037448724
BLACKHORSE ROAD STATION <> #;535855;189345;51.586591;-0.040442361
BLACKHORSE ROAD STATION <> #;535861;189367;51.586787;-0.040347303
BLENHEIM ROAD;535857;189755;51.590274;-0.040254961
FOREST ROAD;535864;189465;51.587667;-0.040266131
FOREST ROAD;535867;189518;51.588142;-0.040202359
BLENHEIM ROAD;535904;189660;51.589409;-0.039613681
WALTHAM FOREST COLLEGE;535857;190128;51.593626;-0.040110691
PRIESTLEY WAY;535886;189904;51.591606;-0.039778961
WALTHAM FOREST COLLEGE;535873;190136;51.593694;-0.03987676
CLARENCE ROAD;535784;190307;51.595252;-0.041094678
LAWRENCE AVENUE;535912;190708;51.598825;-0.039092709
WORCESTER ROAD;535770;190461;51.596639;-0.041237127
LAWRENCE AVENUE;535956;190699;51.598733;-0.038461321
HIGHAM HILL ROAD;536098;190735;51.599023;-0.036398464
HIGHAM HILL ROAD;536108;190722;51.598903;-0.036259214
GUILDSWAY;536614;190824;51.599698;-0.028918508
NORTH COUNTESS ROAD;536822;190825;51.599656;-0.025916864
GUILDSWAY;536583;190813;51.599606;-0.02937009
WALTHAMSTOW ACADEMY;537012;190868;51.599996;-0.02315856
NORTH COUNTESS ROAD;536782;190809;51.599522;-0.026500261
WALTHAMSTOW ACADEMY;537028;190857;51.599894;-0.022931987
CECIL ROAD;537174;190909;51.600325;-0.020805018
KAYWOOD CLOSE;499482;179165;51.502675;-0.56812182
BANK STATION <> / POULTRY;532532;181150;51.513738;-0.091462677
ERITH FIRE STATION;549767;178438;51.485068;0.15558391
ERITH FIRE STATION;549808;178442;51.485094;0.15617565
BEULAH SPA;532748;170084;51.414242;-0.092503132
BEULAH SPA;532719;170115;51.414528;-0.092908303
AVENUE ROAD;527416;183348;51.534667;-0.1643541
AVENUE ROAD;527511;183406;51.535166;-0.1629642
STAMFORD BROOK BUS GARAGE;521636;178587;51.493152;-0.24928645
STAMFORD BROOK BUS GARAGE;521620;178568;51.492985;-0.24952335
CHISWICK POLICE STATION;520905;178487;51.49241;-0.25984512
FENCHURCH STREET STATION #;533329;180989;51.512104;-0.080044792
CLIFTON GARDENS;520773;178494;51.492501;-0.26174315
ST ANN'S ROAD;531763;188697;51.581738;-0.099714406
ST ANN'S ROAD;531756;188835;51.58298;-0.099763639
PHILIP LANE;533739;189444;51.587986;-0.070928581
WOOLWICH ROAD / GALLIONS ROAD;540897;178446;51.487418;0.027928255
SADLER'S WELLS THEATRE;531476;182834;51.529118;-0.10604404
ST MARY OF ETON CHURCH;536695;184772;51.545294;-0.030102365
ST MARY OF ETON CHURCH;536683;184824;51.545765;-0.030255127
SADLER'S WELLS THEATRE;531467;182843;51.529201;-0.10617035
HESA ROAD;510501;180922;51.516423;-0.4088799
THE GRAPES;510673;181129;51.51825;-0.40633718
FORTUNE GREEN;525100;185526;51.554758;-0.19695387
WEST HAMPSTEAD POLICE STATION;525220;185397;51.553572;-0.1952698
LEA BRIDGE ROAD / BAKERS ARMS;537871;188255;51.576307;-0.011789401
LEA BRIDGE ROAD / BAKERS ARMS;537843;188198;51.575801;-0.012215554
THE OLD VIC;531368;179740;51.501338;-0.10875208
THE OLD VIC;531345;179734;51.50129;-0.10908548
GUNNERSBURY STATION <> #;519799;178464;51.492439;-0.27577624
ALPHA CLOSE;527451;182506;51.527092;-0.1641542
LONDON BUSINESS SCHOOL;527604;182407;51.526168;-0.16198571
DEAN STREET / CHINATOWN;529797;180925;51.51235;-0.13093697
HOLBORN STATION <>;530640;181536;51.517647;-0.1185696
MONTPELIER ROAD;517584;181651;51.521546;-0.30660498
HOLLAND ROAD / NAPIER PLACE;524584;179096;51.497085;-0.20666457
VESTRY ROAD;533283;176714;51.473697;-0.082320188
NORLAND SQUARE;524330;180094;51.50611;-0.20997031
